Timestamp	Speed (mph)	Occupancy (%)
05/23/2016 00:00	62.3	6.7
05/23/2016 00:05	62.7	5
05/23/2016 00:10	62.5	5.4
05/23/2016 00:15	63.5	4.5
05/23/2016 00:20	64.3	4.8
05/23/2016 00:25	63.9	4.2
05/23/2016 00:30	64.1	4.2
05/23/2016 00:35	63	3.8
05/23/2016 00:40	63.1	3.4
05/23/2016 00:45	63.7	3.3
05/23/2016 00:50	63.5	3.3
05/23/2016 00:55	63.4	3
05/23/2016 01:00	62.8	3.6
05/23/2016 01:05	63	3.1
05/23/2016 01:10	62.8	3.7
05/23/2016 01:15	63.6	3
05/23/2016 01:20	61.9	3.6
05/23/2016 01:25	62.5	2.9
05/23/2016 01:30	62.7	3.1
05/23/2016 01:35	63.3	3
05/23/2016 01:40	61.3	3.6
05/23/2016 01:45	62.9	2.6
05/23/2016 01:50	62.8	2.9
05/23/2016 01:55	61.4	3
05/23/2016 02:00	60.3	3.6
05/23/2016 02:05	63.3	2.8
05/23/2016 02:10	63.3	3
05/23/2016 02:15	63.8	2.6
05/23/2016 02:20	62.9	3.3
05/23/2016 02:25	63	2.6
05/23/2016 02:30	63	2.7
05/23/2016 02:35	63.6	2.7
05/23/2016 02:40	63.9	3
05/23/2016 02:45	63.2	2.8
05/23/2016 02:50	63	2.7
05/23/2016 02:55	63.2	2.6
05/23/2016 03:00	63.1	3.2
05/23/2016 03:05	63.3	2.6
05/23/2016 03:10	63.4	2.6
05/23/2016 03:15	63.1	2.6
05/23/2016 03:20	62.9	3.3
05/23/2016 03:25	63.1	2.7
05/23/2016 03:30	63.1	3.3
05/23/2016 03:35	63.4	3.3
05/23/2016 03:40	63.3	3.4
05/23/2016 03:45	63.4	3.8
05/23/2016 03:50	65	3.4
05/23/2016 03:55	63.1	4
05/23/2016 04:00	63.5	3.1
05/23/2016 04:05	64.2	3.9
05/23/2016 04:10	63.9	4
05/23/2016 04:15	63.8	4.1
05/23/2016 04:20	63.5	4.8
05/23/2016 04:25	64.5	6.1
05/23/2016 04:30	64.2	5.6
05/23/2016 04:35	64.3	6
05/23/2016 04:40	62.8	7
05/23/2016 04:45	63.9	8
05/23/2016 04:50	65.3	7.5
05/23/2016 04:55	64.7	7.5
05/23/2016 05:00	70.7	8.8
05/23/2016 05:05	70.7	8.4
05/23/2016 05:10	70.5	11.2
05/23/2016 05:15	70.8	11.2
05/23/2016 05:20	67.8	13.3
