Geo-ID	Place	% of Homes Built 2000 to 2009	% of Homes Built 1990 to 1999	% of Homes Built 1980 to 1989	% of Homes Built 1970 to 1979	% of Homes Built 1960 to 1969	% of Homes Built 1950 to 1959	% of Homes Built 1940 to 1949	% of Homes Built 1939 or earlier	% of Homes No bed rooms	% of Homes 1 bed rooms	% of Homes 2 bed rooms	% of Homes  3 bed rooms	% of Homes 4 bed rooms	% of Homes 5 or more bed rooms
16000us0600135	Acalanes Ridge	3	9	10	3	47	14	0	14	4	0	9	47	34	5
16000us0600156	Acampo	81	0	0	0	0	0	19	0	0	0	0	100	0	0
16000us0600212	Acton	25	41	12	3	3	3	1	12	0	1	11	43	36	9
16000us0600296	Adelanto	33	8	8	6	3	1	2	38	1	6	16	41	28	8
16000us0600310	Adin	4	26	8	9	24	3	17	8	0	8	26	57	9	0
16000us0600394	Agoura Hills	4	37	36	10	4	2	1	7	1	8	16	25	36	15
16000us0600450	Agua Dulce	20	28	16	5	3	3	4	21	0	4	11	35	39	11
16000us0600464	Aguanga	43	15	29	0	0	0	0	12	0	35	7	46	12	0
16000us0600478	Ahwahnee	12	19	21	9	8	7	0	24	3	5	15	51	25	2
16000us0600562	Alameda	5	11	16	16	6	7	35	4	3	20	35	28	12	3
05000us06001	Alameda County	8	11	17	14	13	8	21	7	4	18	29	30	15	4
16000us0600618	Alamo	12	22	22	12	15	8	1	9	0	1	7	26	45	20
16000us0600674	Albany	5	7	8	7	8	12	39	14	0	18	48	24	7	2
16000us0600786	Alderpoint	15	17	41	0	0	0	26	0	15	0	0	54	31	0
16000us0600884	Alhambra	6	12	11	12	14	14	27	3	3	20	41	28	6	2
16000us0600898	Alhambra Valley	19	11	6	19	17	4	16	7	0	9	3	32	32	24
16000us0600947	Aliso Viejo	56	23	5	1	0	0	0	14	0	14	34	35	13	3
16000us0600982	Alleghany	42	0	0	0	0	19	40	0	0	0	35	65	0	0
16000us0600996	Allendale	12	30	43	4	0	0	8	4	0	0	14	57	24	4
16000us0601010	Allensworth	25	19	23	17	4	0	4	7	2	2	48	40	9	0
16000us0601164	Alpaugh	11	21	15	18	15	12	1	7	2	7	31	59	0	2
06000us0607390030	Alpine	26	21	23	3	6	2	4	15	2	7	27	32	27	6
16000us0601276	Alta	12	14	20	12	5	13	15	9	3	11	37	41	6	3
16000us0601290	Altadena	3	4	5	8	21	22	36	2	2	6	32	43	13	5
16000us0601360	Alta Sierra	14	47	26	4	2	1	0	6	1	4	14	66	13	3
06000us0604990040	Alturas	11	17	13	13	12	7	21	6	4	14	27	41	12	2
16000us0601458	Alum Rock	5	4	9	10	42	20	6	4	2	4	27	49	13	5
16000us0601514	Amador City	8	19	3	0	7	8	53	3	3	9	53	25	10	1
16000us0601640	American Canyon	13	15	7	8	9	1	1	46	1	4	14	35	26	21
16000us0601651	Amesti	4	19	19	17	5	7	4	26	2	2	36	46	14	0
16000us0602000	Anaheim	10	13	25	19	22	3	3	6	3	18	30	29	17	3
16000us0602028	Anchor Bay	27	9	6	7	24	14	0	13	0	25	36	39	0	0
16000us0602042	Anderson	11	17	18	10	20	5	3	16	2	15	32	44	6	1
06000us0600990060	Angels City	22	16	17	6	5	1	8	25	1	7	29	52	10	1
06000us0605590070	Angwin	9	11	20	18	13	8	16	5	1	18	25	42	10	4
16000us0602210	Antelope	47	25	4	2	5	0	0	16	0	3	14	49	27	6
16000us0602252	Antioch	22	18	19	10	8	5	4	14	1	7	17	37	27	10
16000us0602294	Anza	12	31	21	9	6	0	2	19	0	17	37	36	8	2
16000us0602364	Apple Valley	15	31	15	7	6	2	1	23	1	3	25	45	20	6
16000us0602378	Aptos	7	18	29	26	6	5	2	7	1	11	30	39	17	2
16000us0602382	Aptos Hills-Larkin Valley	9	30	39	5	0	4	0	13	2	3	18	58	10	10
16000us0602420	Arbuckle	14	21	21	9	7	4	6	18	1	9	23	42	19	7
16000us0602462	Arcadia	9	12	15	12	25	15	5	7	1	11	25	37	17	9
06000us0602390100	Arcata	11	19	18	13	17	5	10	7	2	17	36	35	9	2
16000us0602553	Arden-Arcade	4	11	24	19	32	7	2	2	2	22	32	32	10	2
16000us0602700	Armona	12	14	29	13	7	4	14	8	0	3	25	53	17	2
16000us0602770	Arnold	18	32	25	16	3	0	0	5	0	3	30	59	7	0
06000us0600990105	Arnold-West Point	16	30	25	11	6	3	2	7	1	5	34	50	9	1
16000us0602812	Aromas	14	14	28	13	14	5	10	3	1	5	18	50	20	6
06000us0607990120	Arroyo Grande	15	22	20	10	7	4	4	18	2	8	30	44	14	2
16000us0602910	Artois	11	0	21	0	41	0	27	0	0	0	47	53	0	0
16000us0602924	Arvin	22	10	20	8	7	4	6	23	1	11	18	46	23	1
16000us0602980	Ashland	6	13	14	16	23	16	6	5	3	21	41	29	5	1
06000us0607990140	Atascadero	15	25	24	7	7	3	4	15	2	10	28	47	12	2
16000us0603092	Atherton	11	6	5	10	31	13	14	10	0	2	3	21	39	35
06000us0604790150	Atwater	14	16	18	12	13	5	4	17	1	6	21	51	18	2
16000us0603190	Auberry	19	19	35	14	1	5	5	2	3	16	32	30	19	0
06000us0606190160	Auburn	13	17	25	10	9	4	8	13	1	9	30	40	16	4
16000us0603205	Auburn Lake Trails	18	27	32	0	2	3	1	17	1	4	8	65	18	4
16000us0603209	August	11	3	11	16	12	20	19	9	2	15	43	32	8	0
16000us0603302	Avenal	16	20	14	10	9	6	7	19	2	9	20	50	17	1
16000us0603316	Avery	11	22	38	10	3	16	0	0	0	0	42	54	4	0
16000us0603330	Avilla Beach	18	28	14	8	8	5	3	16	1	19	48	29	4	0
16000us0603344	Avocado Heights	3	10	23	27	19	10	5	4	2	2	16	40	35	6
16000us0603386	Azusa	7	17	21	13	22	10	5	5	2	14	38	33	12	2
16000us0603512	Baker	19	22	35	11	7	0	2	3	4	24	29	29	5	9
06000us0602990180	Bakersfield	10	18	19	11	15	7	6	14	3	9	28	44	14	2
16000us0603666	Baldwin Park	8	17	11	16	26	10	5	6	1	11	29	43	14	3
16000us0603694	Ballard	11	17	27	5	12	8	12	9	6	6	19	30	29	10
16000us0603792	Bangor	23	12	34	5	5	0	11	11	0	8	20	52	20	0
16000us0603820	Banning	19	23	10	11	13	4	4	15	4	7	50	29	9	1
06000us0607190188	Barstow	9	19	15	20	20	3	3	12	3	10	26	47	12	2
16000us0604198	Bass Lake	8	20	21	11	1	18	0	21	12	0	17	64	6	1
16000us0604415	Bay Point	13	26	14	11	17	8	5	5	2	7	31	45	14	0
16000us0604478	Bayview	9	15	10	21	21	6	9	8	1	11	31	45	7	4
16000us0604730	Bear Valley	20	21	0	0	11	0	0	48	0	0	60	40	0	0
16000us0604734	Bear Valley Springs	24	33	24	1	0	0	1	17	0	0	11	59	27	4
16000us0604758	Beaumont	6	6	6	7	7	3	3	62	2	5	25	30	25	12
16000us0604772	Beckwourth	3	26	20	7	8	0	10	27	0	16	24	48	12	0
16000us0604870	Bell	5	6	12	13	20	18	24	2	6	30	41	18	4	1
16000us0604926	Bella Vista	8	19	48	4	3	4	4	10	0	4	30	48	16	2
16000us0604938	Bell Canyon	24	45	25	0	0	0	0	6	2	0	11	9	39	40
16000us0604982	Bellflower	6	14	16	15	27	11	7	4	11	17	36	27	7	2
16000us0604996	Bell Gardens	10	8	12	16	22	17	6	7	5	20	44	26	5	0
16000us0605108	Belmont	4	5	20	26	30	9	3	2	5	17	19	36	18	5
16000us0605164	Belvedere	5	6	5	29	28	5	20	3	1	5	20	27	36	11
16000us0605262	Benbow	7	50	4	0	0	7	8	24	22	12	0	48	18	0
16000us0605276	Bend	8	32	22	11	13	2	3	8	4	1	18	64	11	2
16000us0605290	Benicia	10	30	28	6	4	7	7	7	1	9	24	34	27	6
16000us0605332	Ben Lomond	2	7	21	20	19	12	19	1	3	15	29	38	11	4
16000us0605346	Benton	26	18	20	0	0	21	14	0	0	30	41	30	0	0
06000us0600190200	Berkeley	3	4	7	9	11	10	50	5	7	26	34	21	9	4
16000us0606028	Bermuda Dunes	22	46	7	6	0	0	0	19	0	4	40	35	20	1
16000us0606070	Berry Creek	11	24	29	9	6	2	6	13	4	12	38	37	10	0
16000us0606150	Bertsch-Oceanview	15	13	19	7	13	2	12	18	5	9	23	39	14	10
