month year loc prod unit amount
1 1 2012 NZ Tablet 1 1120
2 1 2012 WG Laptop 2 450
3 1 2012 CA Laptop 1 225
4 1 2012 CA Laptop 2 450
5 1 2012 NZ Tablet 1 1120
6 1 2012 ON Laptop 2 450
7 1 2012 ON Printer 2 1140
8 1 2012 CA Laptop 2 450
9 1 2012 NZ Tablet 1 1120
10 1 2012 NZ Tablet 1 1120
11 1 2012 NZ Laptop 1 225
12 1 2012 QU Printer 1 570
13 1 2012 NZ Laptop 1 225
14 1 2012 NZ Tablet 2 2240
15 1 2012 CA Laptop 1 225
16 1 2012 CA Laptop 1 225
17 1 2012 NZ Laptop 1 225
18 1 2012 CA Tablet 1 1120
19 1 2012 CA Printer 2 1140
20 1 2012 CA Printer 1 570
21 1 2012 CA Laptop 2 450
22 1 2012 CA Tablet 2 2240
23 1 2012 NZ Tablet 1 1120
24 1 2012 NZ Laptop 1 225
25 1 2012 QU Laptop 1 225
26 2 2012 ON Printer 2 1140
27 2 2012 NZ Tablet 1 1120
28 2 2012 NZ Tablet 2 2240
29 2 2012 CA Tablet 1 1120
30 2 2012 WG Tablet 1 1120
31 2 2012 ON Tablet 2 2240
32 2 2012 NZ Printer 1 570
33 2 2012 NZ Laptop 1 225
34 2 2012 QU Laptop 1 225
35 2 2012 CA Tablet 1 1120
36 2 2012 CA Printer 1 570
37 2 2012 NZ Laptop 1 225
38 2 2012 ON Printer 2 1140
39 2 2012 NZ Tablet 2 2240
40 2 2012 WG Tablet 1 1120
41 2 2012 CA Tablet 1 1120
42 2 2012 QU Tablet 2 2240
43 2 2012 CA Printer 1 570
44 2 2012 ON Printer 1 570
45 2 2012 NZ Printer 2 1140
46 2 2012 NZ Tablet 1 1120
47 2 2012 WG Laptop 1 225
48 3 2012 WG Printer 1 570
49 3 2012 CA Tablet 1 1120
50 3 2012 WG Tablet 1 1120
51 3 2012 ON Tablet 1 1120
52 3 2012 CA Laptop 2 450
53 3 2012 QU Tablet 1 1120
54 3 2012 CA Laptop 1 225
55 3 2012 CA Laptop 1 225
56 3 2012 QU Tablet 2 2240
57 3 2012 QU Tablet 1 1120
58 3 2012 NZ Laptop 1 225
59 3 2012 CA Laptop 2 450
60 3 2012 CA Laptop 2 450
61 3 2012 WG Tablet 1 1120
62 3 2012 ON Tablet 1 1120
63 3 2012 CA Tablet 1 1120
64 3 2012 WG Laptop 2 450
65 3 2012 NZ Laptop 1 225
66 3 2012 QU Tablet 2 2240
67 3 2012 CA Tablet 2 2240
68 3 2012 WG Tablet 2 2240
69 3 2012 QU Tablet 1 1120
70 3 2012 CA Tablet 2 2240
71 3 2012 CA Laptop 2 450
72 3 2012 CA Laptop 1 225
73 4 2012 CA Laptop 1 225
74 4 2012 CA Laptop 1 225
75 4 2012 QU Tablet 1 1120
76 4 2012 QU Laptop 2 450
77 4 2012 CA Tablet 2 2240
78 4 2012 WG Tablet 1 1120
79 4 2012 WG Tablet 1 1120
80 4 2012 NZ Printer 2 1140
81 4 2012 QU Laptop 1 225
82 4 2012 CA Tablet 1 1120
83 4 2012 QU Printer 1 570
84 4 2012 ON Tablet 1 1120
85 4 2012 QU Tablet 1 1120
86 4 2012 WG Printer 1 570
87 4 2012 WG Tablet 1 1120
88 4 2012 CA Tablet 1 1120
89 4 2012 CA Tablet 1 1120
90 5 2012 WG Tablet 1 1120
91 5 2012 QU Tablet 1 1120
92 5 2012 CA Laptop 2 450
93 5 2012 CA Tablet 1 1120
94 5 2012 NZ Tablet 1 1120
95 5 2012 NZ Tablet 2 2240
96 5 2012 NZ Tablet 1 1120
97 5 2012 NZ Printer 1 570
98 5 2012 QU Laptop 1 225
99 5 2012 QU Tablet 1 1120
100 5 2012 CA Tablet 2 2240
101 5 2012 CA Laptop 1 225
102 5 2012 CA Laptop 2 450
103 5 2012 ON Laptop 1 225
104 5 2012 CA Laptop 1 225
105 5 2012 QU Laptop 2 450
106 5 2012 CA Laptop 1 225
107 5 2012 CA Tablet 1 1120
108 5 2012 CA Printer 1 570
109 6 2012 NZ Tablet 1 1120
110 6 2012 CA Tablet 1 1120
111 6 2012 NZ Tablet 1 1120
112 6 2012 CA Laptop 2 450
113 6 2012 CA Tablet 2 2240
114 6 2012 ON Tablet 1 1120
115 6 2012 QU Printer 1 570
116 6 2012 ON Tablet 2 2240
117 6 2012 NZ Tablet 1 1120
118 6 2012 CA Laptop 2 450
119 6 2012 ON Laptop 2 450
120 6 2012 QU Tablet 1 1120
121 6 2012 NZ Tablet 2 2240
122 6 2012 QU Laptop 1 225
123 6 2012 ON Tablet 2 2240
124 7 2012 NZ Tablet 1 1120
125 7 2012 QU Tablet 1 1120
126 7 2012 NZ Tablet 1 1120
127 7 2012 NZ Tablet 1 1120
128 7 2012 QU Tablet 2 2240
129 7 2012 WG Laptop 1 225
130 7 2012 NZ Printer 1 570
131 7 2012 CA Laptop 1 225
132 7 2012 QU Printer 1 570
133 7 2012 NZ Laptop 1 225
134 7 2012 CA Laptop 2 450
135 7 2012 NZ Printer 2 1140
136 7 2012 WG Laptop 1 225
137 7 2012 NZ Tablet 1 1120
138 7 2012 NZ Laptop 1 225
139 7 2012 WG Tablet 1 1120
140 7 2012 CA Tablet 1 1120
141 7 2012 NZ Laptop 1 225
142 7 2012 ON Tablet 1 1120
143 7 2012 CA Tablet 1 1120
144 7 2012 ON Printer 2 1140
145 8 2012 NZ Laptop 1 225
146 8 2012 CA Laptop 1 225
